owner,name,fullName,numberOfStars,country,language
jondot,awesome-react-native,jondot/awesome-react-native,20963,il,Ruby
danielgindi,Charts,danielgindi/Charts,19014,il,Swift
bolshchikov,js-must-watch,bolshchikov/js-must-watch,11730,il,
yaronn,blessed-contrib,yaronn/blessed-contrib,11699,il,JavaScript
DovAmir,awesome-design-patterns,DovAmir/awesome-design-patterns,7894,il,
harelba,q,harelba/q,5077,il,Python
TalAter,annyang,TalAter/annyang,4888,il,JavaScript
TalAter,UpUp,TalAter/UpUp,4416,il,JavaScript
gabime,spdlog,gabime/spdlog,4004,il,C++
ArthurHub,Android-Image-Cropper,ArthurHub/Android-Image-Cropper,3734,il,Java
a8m,go-lang-cheat-sheet,a8m/go-lang-cheat-sheet,3348,il,
a8m,angular-filter,a8m/angular-filter,2979,il,JavaScript
jondot,graphene,jondot/graphene,2922,il,CSS
hmemcpy,milewski-ctfp-pdf,hmemcpy/milewski-ctfp-pdf,2818,il,TeX
jondot,react-flight,jondot/react-flight,2679,il,JavaScript
urish,angular-moment,urish/angular-moment,2658,il,JavaScript
yaronn,wopr,yaronn/wopr,2534,il,JavaScript
NoamB,sorcery,NoamB/sorcery,2419,il,Ruby
LeoNatan,LNPopupController,LeoNatan/LNPopupController,2268,il,Objective-C
huri000,SwiftEntryKit,huri000/SwiftEntryKit,2217,il,Swift
ronmamo,reflections,ronmamo/reflections,2163,il,Java
smore-inc,clippy.js,smore-inc/clippy.js,2134,il,JavaScript
meirwah,awesome-incident-response,meirwah/awesome-incident-response,2101,il,
yairEO,fancyInput,yairEO/fancyInput,1954,il,CSS
jondot,sneakers,jondot/sneakers,1716,il,Ruby
tomerfiliba,plumbum,tomerfiliba/plumbum,1702,il,Python
