owner,name,fullName,numberOfStars,location,country,languages,language,totalNumberOfCommits,ownerURL,languagesURL,contributorsURL
HelloZeroNet,ZeroNet,HelloZeroNet/ZeroNet,12411,"Budapest, Hungary",hu,"Python,JavaScript,CoffeeScript,CSS,HTML,C,Dockerfile,Batchfile",Python,2468,https://api.github.com/users/HelloZeroNet,https://api.github.com/repos/HelloZeroNet/ZeroNet/languages,https://api.github.com/repos/HelloZeroNet/ZeroNet/contributors
asciimoo,wuzz,asciimoo/wuzz,7618,"Budapest, Hungary",hu,Go,Go,305,https://api.github.com/users/asciimoo,https://api.github.com/repos/asciimoo/wuzz/languages,https://api.github.com/repos/asciimoo/wuzz/contributors
asciimoo,searx,asciimoo/searx,3235,"Budapest, Hungary",hu,"Python,CSS,HTML,JavaScript,Shell,Dockerfile",Python,2578,https://api.github.com/users/asciimoo,https://api.github.com/repos/asciimoo/searx/languages,https://api.github.com/repos/asciimoo/searx/contributors
relatedcode,Messenger,relatedcode/Messenger,3098,Budapest - Wien,hu,"Objective-C,HTML,C,Ruby",Objective-C,2,https://api.github.com/users/relatedcode,https://api.github.com/repos/relatedcode/Messenger/languages,https://api.github.com/repos/relatedcode/Messenger/contributors
relatedcode,ParseAlternatives,relatedcode/ParseAlternatives,2670,Budapest - Wien,hu,,,505,https://api.github.com/users/relatedcode,https://api.github.com/repos/relatedcode/ParseAlternatives/languages,https://api.github.com/repos/relatedcode/ParseAlternatives/contributors
asciimoo,drawille,asciimoo/drawille,2326,"Budapest, Hungary",hu,Python,Python,241,https://api.github.com/users/asciimoo,https://api.github.com/repos/asciimoo/drawille/languages,https://api.github.com/repos/asciimoo/drawille/contributors
team-supercharge,ShimmerLayout,team-supercharge/ShimmerLayout,1603,Budapest,hu,Java,Java,98,https://api.github.com/users/team-supercharge,https://api.github.com/repos/team-supercharge/ShimmerLayout/languages,https://api.github.com/repos/team-supercharge/ShimmerLayout/contributors
