owner,name,fullName,numberOfStars,location,country,languages,language,totalNumberOfCommits,ownerURL,languagesURL,contributorsURL
timuric,Content-generator-sketch-plugin,timuric/Content-generator-sketch-plugin,4316,Amsterdam,nl,"JavaScript,Shell",JavaScript,294,https://api.github.com/users/timuric,https://api.github.com/repos/timuric/Content-generator-sketch-plugin/languages,https://api.github.com/repos/timuric/Content-generator-sketch-plugin/contributors
jariz,vibrant.js,jariz/vibrant.js,4304,"Amsterdam, The Netherlands",nl,"CoffeeScript,HTML,CSS",CoffeeScript,22,https://api.github.com/users/jariz,https://api.github.com/repos/jariz/vibrant.js/languages,https://api.github.com/repos/jariz/vibrant.js/contributors
CompuIves,codesandbox-client,CompuIves/codesandbox-client,4111,"Groningen, The Netherlands",nl,"JavaScript,CSS,TypeScript,HTML,C++,Shell,AppleScript,Dockerfile",JavaScript,1580,https://api.github.com/users/CompuIves,https://api.github.com/repos/CompuIves/codesandbox-client/languages,https://api.github.com/repos/CompuIves/codesandbox-client/contributors
pqina,filepond,pqina/filepond,4002,The Netherlands,nl,"JavaScript,CSS",JavaScript,249,https://api.github.com/users/pqina,https://api.github.com/repos/pqina/filepond/languages,https://api.github.com/repos/pqina/filepond/contributors
pennersr,django-allauth,pennersr/django-allauth,3982,The Netherlands,nl,"Python,HTML,JavaScript,Makefile,Emacs Lisp",Python,2107,https://api.github.com/users/pennersr,https://api.github.com/repos/pennersr/django-allauth/languages,https://api.github.com/repos/pennersr/django-allauth/contributors
makovkastar,FloatingActionButton,makovkastar/FloatingActionButton,3978,"The Hague, Netherlands",nl,Java,Java,421,https://api.github.com/users/makovkastar,https://api.github.com/repos/makovkastar/FloatingActionButton/languages,https://api.github.com/repos/makovkastar/FloatingActionButton/contributors
HJLebbink,asm-dude,HJLebbink/asm-dude,3762,Netherlands,nl,"C#,Assembly,Python,Shell,Batchfile,C++",C#,883,https://api.github.com/users/HJLebbink,https://api.github.com/repos/HJLebbink/asm-dude/languages,https://api.github.com/repos/HJLebbink/asm-dude/contributors
arendst,Sonoff-Tasmota,arendst/Sonoff-Tasmota,3679,Netherlands,nl,"C++,C,Processing,Python,Makefile,Objective-C,Shell,PHP",C++,1554,https://api.github.com/users/arendst,https://api.github.com/repos/arendst/Sonoff-Tasmota/languages,https://api.github.com/repos/arendst/Sonoff-Tasmota/contributors
erroneousboat,slack-term,erroneousboat/slack-term,3658,Amsterdam,nl,"Go,Makefile",Go,268,https://api.github.com/users/erroneousboat,https://api.github.com/repos/erroneousboat/slack-term/languages,https://api.github.com/repos/erroneousboat/slack-term/contributors
hql287,Manta,hql287/Manta,3619,"Amsterdam, Netherlands",nl,"JavaScript,CSS,HTML",JavaScript,737,https://api.github.com/users/hql287,https://api.github.com/repos/hql287/Manta/languages,https://api.github.com/repos/hql287/Manta/contributors
leongersen,noUiSlider,leongersen/noUiSlider,3500,The Netherlands,nl,"JavaScript,CSS,HTML,PHP,Shell",JavaScript,898,https://api.github.com/users/leongersen,https://api.github.com/repos/leongersen/noUiSlider/languages,https://api.github.com/repos/leongersen/noUiSlider/contributors
amirzaidi,Launcher3,amirzaidi/Launcher3,3140,'s-Gravendeel - The Netherlands,nl,"Java,Python,Makefile",Java,17887,https://api.github.com/users/amirzaidi,https://api.github.com/repos/amirzaidi/Launcher3/languages,https://api.github.com/repos/amirzaidi/Launcher3/contributors
PixelsCommander,HTML-GL,PixelsCommander/HTML-GL,3071,"Amsterdam, Netherlands",nl,"JavaScript,HTML,CSS",JavaScript,261,https://api.github.com/users/PixelsCommander,https://api.github.com/repos/PixelsCommander/HTML-GL/languages,https://api.github.com/repos/PixelsCommander/HTML-GL/contributors
kvz,locutus,kvz/locutus,3069,"Amsterdam, The Netherlands",nl,"JavaScript,HTML,CSS,Go,Shell,Makefile",JavaScript,2539,https://api.github.com/users/kvz,https://api.github.com/repos/kvz/locutus/languages,https://api.github.com/repos/kvz/locutus/contributors
roberthein,BouncyLayout,roberthein/BouncyLayout,3057,The Netherlands,nl,"Swift,Objective-C,Ruby",Swift,42,https://api.github.com/users/roberthein,https://api.github.com/repos/roberthein/BouncyLayout/languages,https://api.github.com/repos/roberthein/BouncyLayout/contributors
kootenpv,whereami,kootenpv/whereami,3025,"Utrecht, Netherlands",nl,Python,Python,87,https://api.github.com/users/kootenpv,https://api.github.com/repos/kootenpv/whereami/languages,https://api.github.com/repos/kootenpv/whereami/contributors
barryvdh,laravel-cors,barryvdh/laravel-cors,2994,"Noord-Brabant, the Netherlands",nl,PHP,PHP,272,https://api.github.com/users/barryvdh,https://api.github.com/repos/barryvdh/laravel-cors/languages,https://api.github.com/repos/barryvdh/laravel-cors/contributors
webpro,awesome-dotfiles,webpro/awesome-dotfiles,2864,"De Bilt, The Netherlands",nl,,,67,https://api.github.com/users/webpro,https://api.github.com/repos/webpro/awesome-dotfiles/languages,https://api.github.com/repos/webpro/awesome-dotfiles/contributors
emicklei,go-restful,emicklei/go-restful,2845,Netherlands,nl,"Go,Shell,Makefile",Go,867,https://api.github.com/users/emicklei,https://api.github.com/repos/emicklei/go-restful/languages,https://api.github.com/repos/emicklei/go-restful/contributors
RedApparat,Fotoapparat,RedApparat/Fotoapparat,2815,"Hamburg, Amsterdam",nl,"Kotlin,Java",Kotlin,698,https://api.github.com/users/RedApparat,https://api.github.com/repos/RedApparat/Fotoapparat/languages,https://api.github.com/repos/RedApparat/Fotoapparat/contributors
lcobucci,jwt,lcobucci/jwt,2783,"Amsterdam, NL",nl,PHP,PHP,405,https://api.github.com/users/lcobucci,https://api.github.com/repos/lcobucci/jwt/languages,https://api.github.com/repos/lcobucci/jwt/contributors
wooorm,franc,wooorm/franc,2771,Amsterdam,nl,JavaScript,JavaScript,397,https://api.github.com/users/wooorm,https://api.github.com/repos/wooorm/franc/languages,https://api.github.com/repos/wooorm/franc/contributors
Boris-Em,BEMSimpleLineGraph,Boris-Em/BEMSimpleLineGraph,2725,Amsterdam,nl,Objective-C,Objective-C,417,https://api.github.com/users/Boris-Em,https://api.github.com/repos/Boris-Em/BEMSimpleLineGraph/languages,https://api.github.com/repos/Boris-Em/BEMSimpleLineGraph/contributors
voormedia,rails-erd,voormedia/rails-erd,2693,The Netherlands,nl,"Ruby,Logos,HTML",Ruby,560,https://api.github.com/users/voormedia,https://api.github.com/repos/voormedia/rails-erd/languages,https://api.github.com/repos/voormedia/rails-erd/contributors
stefankroes,ancestry,stefankroes/ancestry,2678,"Enschede, the Netherlands",nl,Ruby,Ruby,467,https://api.github.com/users/stefankroes,https://api.github.com/repos/stefankroes/ancestry/languages,https://api.github.com/repos/stefankroes/ancestry/contributors
jasny,bootstrap,jasny/bootstrap,2673,Amsterdam,nl,"JavaScript,CSS,HTML,Shell",JavaScript,331,https://api.github.com/users/jasny,https://api.github.com/repos/jasny/bootstrap/languages,https://api.github.com/repos/jasny/bootstrap/contributors
ioscreator,ioscreator,ioscreator/ioscreator,2669,"Zeist, Netherlands",nl,"Swift,Objective-C,Ruby",Swift,368,https://api.github.com/users/ioscreator,https://api.github.com/repos/ioscreator/ioscreator/languages,https://api.github.com/repos/ioscreator/ioscreator/contributors
terwanerik,ScrollTrigger,terwanerik/ScrollTrigger,2658,"Utrecht, Netherlands",nl,"JavaScript,HTML,CSS",JavaScript,74,https://api.github.com/users/terwanerik,https://api.github.com/repos/terwanerik/ScrollTrigger/languages,https://api.github.com/repos/terwanerik/ScrollTrigger/contributors
roberthein,TinyConstraints,roberthein/TinyConstraints,2658,The Netherlands,nl,"Swift,Objective-C,Ruby",Swift,253,https://api.github.com/users/roberthein,https://api.github.com/repos/roberthein/TinyConstraints/languages,https://api.github.com/repos/roberthein/TinyConstraints/contributors
PaulUithol,Backbone-relational,PaulUithol/Backbone-relational,2389,"Amersfoort, The Netherlands",nl,"JavaScript,HTML,CSS",JavaScript,718,https://api.github.com/users/PaulUithol,https://api.github.com/repos/PaulUithol/Backbone-relational/languages,https://api.github.com/repos/PaulUithol/Backbone-relational/contributors
RickWong,react-isomorphic-starterkit,RickWong/react-isomorphic-starterkit,2349,Amsterdam,nl,"JavaScript,CSS",JavaScript,257,https://api.github.com/users/RickWong,https://api.github.com/repos/RickWong/react-isomorphic-starterkit/languages,https://api.github.com/repos/RickWong/react-isomorphic-starterkit/contributors
wooorm,alex,wooorm/alex,2345,Amsterdam,nl,JavaScript,JavaScript,279,https://api.github.com/users/wooorm,https://api.github.com/repos/wooorm/alex/languages,https://api.github.com/repos/wooorm/alex/contributors
barryvdh,laravel-dompdf,barryvdh/laravel-dompdf,2300,"Noord-Brabant, the Netherlands",nl,PHP,PHP,201,https://api.github.com/users/barryvdh,https://api.github.com/repos/barryvdh/laravel-dompdf/languages,https://api.github.com/repos/barryvdh/laravel-dompdf/contributors
Boris-Em,BEMCheckBox,Boris-Em/BEMCheckBox,2171,Amsterdam,nl,Objective-C,Objective-C,278,https://api.github.com/users/Boris-Em,https://api.github.com/repos/Boris-Em/BEMCheckBox/languages,https://api.github.com/repos/Boris-Em/BEMCheckBox/contributors
Crinsane,LaravelShoppingcart,Crinsane/LaravelShoppingcart,2163,The Netherlands,nl,PHP,PHP,257,https://api.github.com/users/Crinsane,https://api.github.com/repos/Crinsane/LaravelShoppingcart/languages,https://api.github.com/repos/Crinsane/LaravelShoppingcart/contributors
mislav,git-deploy,mislav/git-deploy,2090,Amsterdam,nl,"Ruby,Shell",Ruby,93,https://api.github.com/users/mislav,https://api.github.com/repos/mislav/git-deploy/languages,https://api.github.com/repos/mislav/git-deploy/contributors
HansPinckaers,GrowingTextView,HansPinckaers/GrowingTextView,2078,"Leiden, The Netherlands",nl,"Objective-C,Ruby",Objective-C,216,https://api.github.com/users/HansPinckaers,https://api.github.com/repos/HansPinckaers/GrowingTextView/languages,https://api.github.com/repos/HansPinckaers/GrowingTextView/contributors
