owner,name,fullName,numberOfStars,location,country,languages,language,totalNumberOfCommits,ownerURL,languagesURL,contributorsURL
ClusterM,hakchi2,ClusterM/hakchi2,2329,"Russia, Elektrostal",ru,"C#,C,Shell,M4,C++,Batchfile,Makefile",C#,736,https://api.github.com/users/ClusterM,https://api.github.com/repos/ClusterM/hakchi2/languages,https://api.github.com/repos/ClusterM/hakchi2/contributors
yandexdataschool,Practical_RL,yandexdataschool/Practical_RL,2270,"Moscow, Russia",ru,"Jupyter Notebook,Python,Dockerfile,Shell",Jupyter Notebook,826,https://api.github.com/users/yandexdataschool,https://api.github.com/repos/yandexdataschool/Practical_RL/languages,https://api.github.com/repos/yandexdataschool/Practical_RL/contributors
Prototik,HoloEverywhere,Prototik/HoloEverywhere,2239,Krasnoyarsk (Russia),ru,"Java,Groovy,Shell",Java,898,https://api.github.com/users/Prototik,https://api.github.com/repos/Prototik/HoloEverywhere/languages,https://api.github.com/repos/Prototik/HoloEverywhere/contributors
vitalets,angular-xeditable,vitalets/angular-xeditable,1955,Moscow,ru,"HTML,JavaScript,CSS",HTML,642,https://api.github.com/users/vitalets,https://api.github.com/repos/vitalets/angular-xeditable/languages,https://api.github.com/repos/vitalets/angular-xeditable/contributors
posthtml,posthtml,posthtml/posthtml,1925,"Moscow, Russia",ru,"JavaScript,HTML",JavaScript,505,https://api.github.com/users/posthtml,https://api.github.com/repos/posthtml/posthtml/languages,https://api.github.com/repos/posthtml/posthtml/contributors
ApmeM,android-flowlayout,ApmeM/android-flowlayout,1893,"Izhevsk, Russia",ru,Java,Java,243,https://api.github.com/users/ApmeM,https://api.github.com/repos/ApmeM/android-flowlayout/languages,https://api.github.com/repos/ApmeM/android-flowlayout/contributors
iliasam,OpenSimpleLidar,iliasam/OpenSimpleLidar,1854,Russia,ru,"C,C++,CMake,Makefile",C,53,https://api.github.com/users/iliasam,https://api.github.com/repos/iliasam/OpenSimpleLidar/languages,https://api.github.com/repos/iliasam/OpenSimpleLidar/contributors
akxcv,vuera,akxcv/vuera,1850,St Petersburg,ru,JavaScript,JavaScript,49,https://api.github.com/users/akxcv,https://api.github.com/repos/akxcv/vuera/languages,https://api.github.com/repos/akxcv/vuera/contributors
Yorko,mlcourse_open,Yorko/mlcourse_open,1824,Moscow,ru,"Python,Shell",Python,1703,https://api.github.com/users/Yorko,https://api.github.com/repos/Yorko/mlcourse_open/languages,https://api.github.com/repos/Yorko/mlcourse_open/contributors
Suor,funcy,Suor/funcy,1811,"Krasnoyark, Russia",ru,Python,Python,965,https://api.github.com/users/Suor,https://api.github.com/repos/Suor/funcy/languages,https://api.github.com/repos/Suor/funcy/contributors
disintegration,imaging,disintegration/imaging,1808,"Moscow, Russia",ru,Go,Go,247,https://api.github.com/users/disintegration,https://api.github.com/repos/disintegration/imaging/languages,https://api.github.com/repos/disintegration/imaging/contributors
kolyvan,kxmenu,kolyvan/kxmenu,1783,Russia,ru,Objective-C,Objective-C,9,https://api.github.com/users/kolyvan,https://api.github.com/repos/kolyvan/kxmenu/languages,https://api.github.com/repos/kolyvan/kxmenu/contributors
dani-gavrilov,GDPerformanceView-Swift,dani-gavrilov/GDPerformanceView-Swift,1737,"Saint-Petersburg, Russia",ru,"Swift,Objective-C,Ruby",Swift,50,https://api.github.com/users/dani-gavrilov,https://api.github.com/repos/dani-gavrilov/GDPerformanceView-Swift/languages,https://api.github.com/repos/dani-gavrilov/GDPerformanceView-Swift/contributors
kriasoft,nodejs-api-starter,kriasoft/nodejs-api-starter,1711,"Saint Petersburg, Russia",ru,"JavaScript,HTML,Shell",JavaScript,284,https://api.github.com/users/kriasoft,https://api.github.com/repos/kriasoft/nodejs-api-starter/languages,https://api.github.com/repos/kriasoft/nodejs-api-starter/contributors
akopytov,sysbench,akopytov/sysbench,1691,"Chernogolovka, Russia",ru,"C,Perl,M4,Lua,Shell,C++,Makefile,Terra",C,1288,https://api.github.com/users/akopytov,https://api.github.com/repos/akopytov/sysbench/languages,https://api.github.com/repos/akopytov/sysbench/contributors
Azoft,CarouselLayoutManager,Azoft/CarouselLayoutManager,1671,"Novosibirsk, Russia",ru,Java,Java,83,https://api.github.com/users/Azoft,https://api.github.com/repos/Azoft/CarouselLayoutManager/languages,https://api.github.com/repos/Azoft/CarouselLayoutManager/contributors
lorien,grab,lorien/grab,1629,"Moscow, Russia",ru,"Python,HTML,Makefile",Python,2241,https://api.github.com/users/lorien,https://api.github.com/repos/lorien/grab/languages,https://api.github.com/repos/lorien/grab/contributors
cheggaaa,pb,cheggaaa/pb,1615,"St. Peterburg, Moscow",ru,Go,Go,357,https://api.github.com/users/cheggaaa,https://api.github.com/repos/cheggaaa/pb/languages,https://api.github.com/repos/cheggaaa/pb/contributors
pmwkaa,sophia,pmwkaa/sophia,1602,"Russian Federation, Moscow",ru,"C,C++,Makefile,Shell",C,766,https://api.github.com/users/pmwkaa,https://api.github.com/repos/pmwkaa/sophia/languages,https://api.github.com/repos/pmwkaa/sophia/contributors
miripiruni,frontdesk,miripiruni/frontdesk,1588,"St. Petersburg, Russia",ru,Shell,Shell,494,https://api.github.com/users/miripiruni,https://api.github.com/repos/miripiruni/frontdesk/languages,https://api.github.com/repos/miripiruni/frontdesk/contributors
