owner,name,fullName,numberOfStars,location,country,languages,language,totalNumberOfCommits,ownerURL,languagesURL,contributorsURL
JoanZapata,base-adapter-helper,JoanZapata/base-adapter-helper,1718,Paris,fr,Java,Java,250,https://api.github.com/users/JoanZapata,https://api.github.com/repos/JoanZapata/base-adapter-helper/languages,https://api.github.com/repos/JoanZapata/base-adapter-helper/contributors
gre,gl-react-native-v2,gre/gl-react-native-v2,1712,"Paris, France",fr,"Java,JavaScript,Objective-C,Python,Ruby",Java,474,https://api.github.com/users/gre,https://api.github.com/repos/gre/gl-react-native-v2/languages,https://api.github.com/repos/gre/gl-react-native-v2/contributors
notifme,notifme-sdk,notifme/notifme-sdk,1677,France,fr,JavaScript,JavaScript,316,https://api.github.com/users/notifme,https://api.github.com/repos/notifme/notifme-sdk/languages,https://api.github.com/repos/notifme/notifme-sdk/contributors
jedisct1,piknik,jedisct1/piknik,1674,"Paris, France",fr,"Go,Shell",Go,302,https://api.github.com/users/jedisct1,https://api.github.com/repos/jedisct1/piknik/languages,https://api.github.com/repos/jedisct1/piknik/contributors
sarahdayan,dinero.js,sarahdayan/dinero.js,1674,France,fr,"JavaScript,Shell",JavaScript,399,https://api.github.com/users/sarahdayan,https://api.github.com/repos/sarahdayan/dinero.js/languages,https://api.github.com/repos/sarahdayan/dinero.js/contributors
texane,stlink,texane/stlink,1661,"france, grenoble",fr,"C,CMake,Assembly,Shell,Makefile,Batchfile",C,1158,https://api.github.com/users/texane,https://api.github.com/repos/texane/stlink/languages,https://api.github.com/repos/texane/stlink/contributors
robinmoisson,staticrypt,robinmoisson/staticrypt,1649,Paris,fr,"JavaScript,HTML",JavaScript,71,https://api.github.com/users/robinmoisson,https://api.github.com/repos/robinmoisson/staticrypt/languages,https://api.github.com/repos/robinmoisson/staticrypt/contributors
maximegris,angular-electron,maximegris/angular-electron,1648,"Nantes, France",fr,"TypeScript,JavaScript,CSS,HTML",TypeScript,328,https://api.github.com/users/maximegris,https://api.github.com/repos/maximegris/angular-electron/languages,https://api.github.com/repos/maximegris/angular-electron/contributors
dimitri,pgloader,dimitri/pgloader,1637,"Paris, France",fr,"Common Lisp,Makefile,Shell,Dockerfile,Batchfile",Common Lisp,1521,https://api.github.com/users/dimitri,https://api.github.com/repos/dimitri/pgloader/languages,https://api.github.com/repos/dimitri/pgloader/contributors
hmlb,phpunit-vw,hmlb/phpunit-vw,1635,"Lyon, France",fr,PHP,PHP,41,https://api.github.com/users/hmlb,https://api.github.com/repos/hmlb/phpunit-vw/languages,https://api.github.com/repos/hmlb/phpunit-vw/contributors
Leimi,drawingboard.js,Leimi/drawingboard.js,1634,"Angers, France",fr,"JavaScript,CSS,HTML,Ruby",JavaScript,340,https://api.github.com/users/Leimi,https://api.github.com/repos/Leimi/drawingboard.js/languages,https://api.github.com/repos/Leimi/drawingboard.js/contributors
processone,tsung,processone/tsung,1629,"Paris, France",fr,"Erlang,Perl,Python,Shell,Makefile,M4,CSS,HTML",Erlang,2227,https://api.github.com/users/processone,https://api.github.com/repos/processone/tsung/languages,https://api.github.com/repos/processone/tsung/contributors
Diaoul,subliminal,Diaoul/subliminal,1626,Paris,fr,Python,Python,1085,https://api.github.com/users/Diaoul,https://api.github.com/repos/Diaoul/subliminal/languages,https://api.github.com/repos/Diaoul/subliminal/contributors
lo-th,Oimo.js,lo-th/Oimo.js,1624,france,fr,"JavaScript,HTML",JavaScript,639,https://api.github.com/users/lo-th,https://api.github.com/repos/lo-th/Oimo.js/languages,https://api.github.com/repos/lo-th/Oimo.js/contributors
aaugustin,websockets,aaugustin/websockets,1624,"Paris, France",fr,"Python,C,HTML,Makefile",Python,653,https://api.github.com/users/aaugustin,https://api.github.com/repos/aaugustin/websockets/languages,https://api.github.com/repos/aaugustin/websockets/contributors
dherault,serverless-offline,dherault/serverless-offline,1611,"Paris, France",fr,JavaScript,JavaScript,847,https://api.github.com/users/dherault,https://api.github.com/repos/dherault/serverless-offline/languages,https://api.github.com/repos/dherault/serverless-offline/contributors
lou,multi-select,lou/multi-select,1607,paris,fr,"JavaScript,CSS,HTML",JavaScript,405,https://api.github.com/users/lou,https://api.github.com/repos/lou/multi-select/languages,https://api.github.com/repos/lou/multi-select/contributors
gre,gl-react,gre/gl-react,1603,"Paris, France",fr,"JavaScript,CSS,GLSL,Shell,HTML",JavaScript,352,https://api.github.com/users/gre,https://api.github.com/repos/gre/gl-react/languages,https://api.github.com/repos/gre/gl-react/contributors
