owner,name,fullName,numberOfStars,location,country,languages,language,totalNumberOfCommits,ownerURL,languagesURL,contributorsURL
kittinunf,Fuel,kittinunf/Fuel,2060,Tokyo,jp,"Kotlin,Java,Shell",Kotlin,654,https://api.github.com/users/kittinunf,https://api.github.com/repos/kittinunf/Fuel/languages,https://api.github.com/repos/kittinunf/Fuel/contributors
nemasu,asmttpd,nemasu/asmttpd,2059,"Tokyo, Japan",jp,"Assembly,Makefile,HTML",Assembly,57,https://api.github.com/users/nemasu,https://api.github.com/repos/nemasu/asmttpd/languages,https://api.github.com/repos/nemasu/asmttpd/contributors
yqritc,RecyclerView-FlexibleDivider,yqritc/RecyclerView-FlexibleDivider,2045,"Yokohama, Japan",jp,Java,Java,74,https://api.github.com/users/yqritc,https://api.github.com/repos/yqritc/RecyclerView-FlexibleDivider/languages,https://api.github.com/repos/yqritc/RecyclerView-FlexibleDivider/contributors
morishitter,stylefmt,morishitter/stylefmt,2034,"Tokyo, Japan",jp,"JavaScript,CSS",JavaScript,821,https://api.github.com/users/morishitter,https://api.github.com/repos/morishitter/stylefmt/languages,https://api.github.com/repos/morishitter/stylefmt/contributors
minikomi,Bootstrap-Form-Builder,minikomi/Bootstrap-Form-Builder,2027,"Tokyo, Japan",jp,"JavaScript,HTML,CSS,Ruby",JavaScript,257,https://api.github.com/users/minikomi,https://api.github.com/repos/minikomi/Bootstrap-Form-Builder/languages,https://api.github.com/repos/minikomi/Bootstrap-Form-Builder/contributors
sony,nnabla,sony/nnabla,2015,"Minato-ku, Tokyo, Japan",jp,"Python,C++,Jupyter Notebook,CMake,Makefile,Batchfile,Shell,Dockerfile",Python,881,https://api.github.com/users/sony,https://api.github.com/repos/sony/nnabla/languages,https://api.github.com/repos/sony/nnabla/contributors
igreenwood,SimpleCropView,igreenwood/SimpleCropView,2013,"Tokyo, Japan",jp,Java,Java,340,https://api.github.com/users/igreenwood,https://api.github.com/repos/igreenwood/SimpleCropView/languages,https://api.github.com/repos/igreenwood/SimpleCropView/contributors
JohnEstropia,CoreStore,JohnEstropia/CoreStore,2005,Tokyo,jp,"Swift,Objective-C,Ruby",Swift,973,https://api.github.com/users/JohnEstropia,https://api.github.com/repos/JohnEstropia/CoreStore/languages,https://api.github.com/repos/JohnEstropia/CoreStore/contributors
humiaozuzu,dot-vimrc,humiaozuzu/dot-vimrc,1965,Tokyo,jp,Vim script,Vim script,19,https://api.github.com/users/humiaozuzu,https://api.github.com/repos/humiaozuzu/dot-vimrc/languages,https://api.github.com/repos/humiaozuzu/dot-vimrc/contributors
rhysd,NyaoVim,rhysd/NyaoVim,1933,"Tokyo, Japan",jp,"TypeScript,Shell,Vim script,HTML,JavaScript,Ruby",TypeScript,379,https://api.github.com/users/rhysd,https://api.github.com/repos/rhysd/NyaoVim/languages,https://api.github.com/repos/rhysd/NyaoVim/contributors
Wizcorp,phonegap-facebook-plugin,Wizcorp/phonegap-facebook-plugin,1916,"Tokyo, Japan",jp,"Java,Objective-C,JavaScript,Shell,HTML,Batchfile,CSS,C,AppleScript",Java,634,https://api.github.com/users/Wizcorp,https://api.github.com/repos/Wizcorp/phonegap-facebook-plugin/languages,https://api.github.com/repos/Wizcorp/phonegap-facebook-plugin/contributors
knqyf263,pet,knqyf263/pet,1876,"Tokyo, Japan",jp,"Go,Shell,Makefile",Go,88,https://api.github.com/users/knqyf263,https://api.github.com/repos/knqyf263/pet/languages,https://api.github.com/repos/knqyf263/pet/contributors
t32k,stylestats,t32k/stylestats,1870,"Tokyo, Japan",jp,"CSS,JavaScript",CSS,657,https://api.github.com/users/t32k,https://api.github.com/repos/t32k/stylestats/languages,https://api.github.com/repos/t32k/stylestats/contributors
satoshiiizuka,siggraph2016_colorization,satoshiiizuka/siggraph2016_colorization,1825,Tokyo,jp,"Lua,Shell",Lua,18,https://api.github.com/users/satoshiiizuka,https://api.github.com/repos/satoshiiizuka/siggraph2016_colorization/languages,https://api.github.com/repos/satoshiiizuka/siggraph2016_colorization/contributors
hatena,Hatena-Textbook,hatena/Hatena-Textbook,1806,"Kyoto, Japan",jp,,,223,https://api.github.com/users/hatena,https://api.github.com/repos/hatena/Hatena-Textbook/languages,https://api.github.com/repos/hatena/Hatena-Textbook/contributors
recruit-lifestyle,WaveSwipeRefreshLayout,recruit-lifestyle/WaveSwipeRefreshLayout,1781,"Tokyo, Japan",jp,Java,Java,36,https://api.github.com/users/recruit-lifestyle,https://api.github.com/repos/recruit-lifestyle/WaveSwipeRefreshLayout/languages,https://api.github.com/repos/recruit-lifestyle/WaveSwipeRefreshLayout/contributors
