owner,name,fullName,numberOfStars,country,language
WebAssembly,design,WebAssembly/design,6064,et,
reapp,reapp,reapp/reapp,3704,et,JavaScript
tc39,ecma262,tc39/ecma262,3116,et,HTML
html5rocks,www.html5rocks.com,html5rocks/www.html5rocks.com,2118,et,HTML
WebAssembly,binaryen,WebAssembly/binaryen,845,et,Assembly
hypothesis,h,hypothesis/h,733,et,Python
