id,name,location,num_watchers,language,newLanguage
6699359,typecho,China,3945,PHP,php
13042928,anyproxy,"Hangzhou, China",3925,JavaScript,javascript
30396473,VeryNginx,BeiJing,3906,HTML,lua
118137,SwitchHosts,"Hangzhou, China",3906,JavaScript,javascript
2909125,canal,"Hangzhou, China",3875,Java,java
30073757,HTextView,Beijing,3842,Java,java
26108120,ZhiHuDaily-React-Native,"Beijing, China",3769,JavaScript,javascript
21898406,dexposed,"Hangzhou, China",3749,Java,java
4037534,k-vim,ShenZhen China,3714,VimL,shell
20684770,solo,China,3712,Java,java
45433,muduo,China,3707,C++,c++
21971064,react-native-material-kit,"Beijing, China",3666,JavaScript,javascript
21542990,Meizhi,"Hangzhou, China",3653,Java,java
10469223,fastsocket,"Beijing, China",3648,C,c
28933334,XRecyclerView,chengdu,3617,Java,java
10191372,Mybatis-PageHelper,China,3614,Java,java
29148918,xxl-job,"Shanghai, China",3612,JavaScript,javascript
20601288,BGARefreshLayout-Android,"Chengdu, China",3604,Java,java
9925226,disconf,"Shanghai, China",3585,Java,java
3304945,wechat-php-sdk,Guangzhou,3575,PHP,php
39059,vim,"Shanghai, China",3563,VimL,python
14122593,VPNOn,"Shanghai, China",3552,Swift,swift
23598943,BabyBluetooth,hangzhou china,3541,Objective-C,objective-c
12221068,EasyPR,China,3540,C++,c++
13340928,ss-panel,Xiamen,3506,PHP,php
22092731,Android-ConvenientBanner,guangzhou,3495,Java,java
10213941,Google-IPs,"Tianjin, China",3459,JavaScript,javascript
15845303,flinux,Shanghai,3420,C,c
18122786,bilibili-mac-client,China,3417,Objective-C,objective-c
29148683,packer-ng-plugin,"Beijing, China",3415,Java,java
4297009,Atlas,"Beijing, China",3382,C,c
27771801,YYModel,"Beijing, China",3368,Objective-C,objective-c
5267355,jstorm,"Hangzhou, China",3338,Java,java
121755,AlgoXY,"Beijing, China",3330,TeX,python
24828418,walle-web,beijing,3329,HTML,php
8643285,ueditor,beijing,3312,JavaScript,javascript
29786106,react-web,China,3310,JavaScript,javascript
20146573,blade,"ShangHai, China",3295,Java,java
29740289,Datax,"Hangzhou, China",3292,Java,java
7364862,simditor,"Chengdu, Sichuan, China",3287,JavaScript,javascript
11585218,elasticsearch-sql,china,3280,Java,java
27406556,GalleryFinal,"Shenzhen, China",3267,Java,java
25303333,Coding-iOS,In the Cloud,3238,Objective-C,objective-c
15050482,MVVMReactiveCocoa,"Guangzhou, Guangdong, China",3200,Objective-C,objective-c
36413,bullet,"Shanghai, China",3192,Ruby,ruby
25338080,Android-Tips,Hangzhou China,3177,Java,java
13018295,regulex,China,3167,JavaScript,javascript
35132188,LoadingDrawable,"Beijing, China",3160,Java,java
31047441,hsweb-framework,china,3128,Java,java
26133105,cropperjs,China,3112,JavaScript,javascript
28142455,YYWebImage,"Beijing, China",3108,Objective-C,objective-c
19291055,Android-PickerView,guangzhou,3069,Java,java
29170149,react-native-lesson,Hangzhou China,3067,HTML,javascript
2255776,WeiXinMPSDK,China,3053,C#,c#
17050906,Learn-Laravel-5,"Beijing, China",3036,PHP,php
30369843,laravel-admin,Shanghai,3015,JavaScript,javascript
18775937,DKNightVersion,"Shanghai, China",3013,Objective-C,objective-c
29516907,MagicCamera,NanJing China,3011,Java,java
28255045,Vue-cnodejs,BeiJing,2975,JavaScript,javascript
20588167,FlyRefresh,"Beijing, China",2961,Java,java
30865646,notes-python,"Beijing, China",2958,Jupyter Notebook,python
17556123,objc-zen-book-cn,"NanJing, Jiangsu, China",2931,Ruby,ruby
25051824,Android-Best-Practices,China,2924,Java,java
28687737,Nuwa,ShangHai,2905,Java,java
13039301,CircleProgress,Shanghai China,2887,Java,java
30223465,growth,Shenzhen China,2878,CSS,javascript
11256667,AndroidViewHover,"Beijing, China",2870,Java,java
15195413,RecyclerViewPager,Beijing China,2869,Java,java
15701798,huxpro.github.io,China,2862,HTML,javascript
10219334,XCL-Charts,"ShenZhen, China",2843,Java,java
14111903,ngx_http_google_filter_module,"China, Shanghai",2823,C,c
43090947,GeekNews,"Shanghai, China",2815,Java,java
13679102,font-spider,"Xiamen, China",2809,JavaScript,javascript
13837159,goproxy,"Nanjing, China",2797,Go,go
8516218,fis,beijing,2795,PHP,php
21244351,MyLinearLayout,Beijing China,2786,Objective-C,objective-c
29860497,codelf,Beijing,2756,HTML,javascript
56699893,FSPagerView,China,2754,Swift,swift
27632870,DynamicAPK,"Shanghai, China",2754,C++,c++
3454537,The-Golang-Standard-Library-by-Example,北京,2744,Go,go
2281819,koala,"Hangzhou, China",2741,JavaScript,javascript
13123326,codis,"Beijing, China",2725,Go,go
8095098,shadowsocks_install,Shanghai,2721,Shell,shell
9100815,xorm,"Shanghai, CN",2705,Go,go
22128940,StickerCamera,"Shanghai, China",2689,Java,java
19066263,YoCelsius,BeiJing,2688,Objective-C,objective-c
25656386,JKeyboardPanelSwitch,ShangHai,2679,Java,java
5035451,otter,"Hangzhou, China",2670,Java,java
25226351,ParseSourceCodeStudy,Beijing China.,2654,Objective-C,objective-c
30215645,viewerjs,China,2638,JavaScript,javascript
55569177,EFQRCode,Shanghai,2632,Swift,swift
30600355,LuaViewSDK,"Hangzhou, China",2623,Java,java
7631592,pinyin,"Hangzhou, China",2598,JavaScript,javascript
13047207,GsonFormat,Shanghai China,2585,Java,java
47617609,vue-awesome-swiper,"XI'AN, ShanXi, China",2584,Vue,javascript
20684774,symphony,China,2574,Java,java
37541989,Stellar,ShangHai,2560,,swift
2261951,nginx-book,"Hangzhou, China",2552,Python,python
29766354,reading,China,2549,JavaScript,javascript
6625945,snownlp,China,2537,Python,python
34789306,underscore-analysis,"Hangzhou, China",2534,JavaScript,javascript
6927642,AndroidResideMenu,Shenzhen,2523,Java,java
13754326,RTImageAssets,"Hangzhou, Zhejiang, China",2499,Objective-C,objective-c
20790602,MasteringAndroidDataBinding,"Hangzhou, Zhejiang, China",2489,Java,java
608704,BeeFramework,"Beijing, china",2488,Objective-C,objective-c
5216745,pen,Shanghai China,2475,JavaScript,javascript
9668961,ledisdb,China,2471,Go,go
32441,artDialog,"Xiamen, China",2460,JavaScript,javascript
30481074,KMNavigationBarTransition,"Shanghai, China",2459,Objective-C,objective-c
29227039,finalspeed,china,2442,Java,java
9608738,Learn-Algorithms,北京,2407,C,c
21913581,fis3,beijing,2386,JavaScript,javascript
3395069,distribute_crawler,"beijing, china",2381,Python,python
19743440,TYAttributedLabel,"China, changsha",2377,Objective-C,objective-c
20991181,BGABanner-Android,"Chengdu, China",2365,Java,java
37946333,SpringBoot-Learning,Shanghai,2339,Java,java
28855510,Animations,BeiJing,2303,Objective-C,objective-c
39530095,GuideView,北京,2302,,java
17072143,XhsEmoticonsKeyboard,"Shanghai, China",2300,Java,java
9241117,9GAG,"Shanghai, China",2295,Java,java
3097542,Locale-Emulator,China,2282,C#,c#
17573454,mama2,"Beijing, China",2280,JavaScript,javascript
3320989,bootstrap-wysiwyg,In the cloud!,2263,HTML,shell
30235627,MarsDaemon,Beijing,2263,Java,java
12850821,dropload,武汉,2256,JavaScript,javascript
25113739,f2etest,"Hangzhou, China",2249,Java,java
10345234,SwiftyJSON,Chengdu China,2231,Swift,swift
34629284,ActivityRouter,Shanghai China,2225,Java,java
12191493,MaterialDialog,"Hangzhou, China",2225,Java,java
11125771,NiftyDialogEffects,"Beijing, China",2220,Java,java
11541492,weixin-java-tools,"Shanghai, China",2213,Java,java
56530268,BadgeView,China,2195,Java,java
8347675,kityminder,beijing,2191,JavaScript,javascript
31683088,WMPlayer,北京,2187,Objective-C,objective-c
20454895,VVeboTableViewDemo,Beijing,2183,Objective-C,objective-c
38010762,MarqueeView,北京市,2182,Java,java
11444591,Genius-Android,China Sichuan,2181,Java,java
9384911,WeixinApi,Beijing,2179,HTML,javascript
4780795,zimg,China,2167,C,c
7424030,cobar,"Hangzhou, China",2165,Java,java
14827965,jvm.go,Beijing,2164,Go,go
11753105,PullZoomView,Shanghai China,2162,Java,java
31697138,12306ForMac,shenzhen,2155,Swift,swift
31057166,AndroidProcess,China-ShenZhen,2152,Java,java
34081,eventproxy,"Hangzhou, China",2149,JavaScript,javascript
2978500,go-socket.io,"Beijing, China",2144,Go,javascript
11816154,safe-java-js-webview-bridge,Hangzhou.China,2132,JavaScript,javascript
