id,name,location,num_watchers,language,newLanguage
3128083,whoops,"Lisbon, Portugal",4783,PHP,php
11206024,scraperjs,Portugal,3591,JavaScript,javascript
44560292,RecyclerViewSnap,"Braga, Portugal",3185,Java,java
1387588,Ink,"Lisbon, Portugal",2107,JavaScript,javascript
9724597,rubycritic,Portugal,2016,JavaScript,javascript
5336880,dockerode,Portugal,1700,JavaScript,javascript
6329729,Flask-AppBuilder,"Lisbon, Portugal",1444,Python,python
12626952,Xamarin-Forms-Labs,"Espinho, Portugal",1407,C#,c#
