owner,name,fullName,numberOfStars,country,language
angular,TensorFlow-Tutorials,angular/TensorFlow-Tutorials,17284,,JavaScript
TryGhost,GrowingTextView,TryGhost/GrowingTextView,17186,,JavaScript
zxing,Projects,zxing/Projects,17153,,Java
mholt,ThreeNodes.js,mholt/ThreeNodes.js,17145,,Go
SwiftyJSON,browserhtml,SwiftyJSON/browserhtml,17079,,Swift
greenrobot,Elastica,greenrobot/Elastica,17022,,Java
angular,fsharp,angular/fsharp,16921,,JavaScript
Bower,jquery.terminal,Bower/jquery.terminal,16899,,JavaScript
exacity,pure,exacity/pure,16868,,TeX
ziadoz,simple_token_authentication,ziadoz/simple_token_authentication,16726,,
mbeaudru,angular-styleguide,mbeaudru/angular-styleguide,16691,,
ethereum,antwort,ethereum/antwort,16638,,Go
kenwheeler,uwsgi,kenwheeler/uwsgi,16536,,JavaScript
Polymer,fetch,Polymer/fetch,16462,,HTML
expressjs,tsfresh,expressjs/tsfresh,16441,,JavaScript
futurice,stellar.js,futurice/stellar.js,16433,,Java
tornadoweb,bespoke.js,tornadoweb/bespoke.js,16359,,Python
getsentry,node-notifier,getsentry/node-notifier,16276,,Python
knsv,frontend-dev-bookmarks,knsv/frontend-dev-bookmarks,16239,,JavaScript
houshanren,jquery-pjax,houshanren/jquery-pjax,16175,,
jcjohnson,hugo,jcjohnson/hugo,16167,,Lua
google,flow,google/flow,16122,,Java
tldr-pages,dbglass,tldr-pages/dbglass,15856,,Shell
cheeriojs,open-source-ios-apps,cheeriojs/open-source-ios-apps,15826,,JavaScript
prometheus,elasticsearch-jdbc,prometheus/elasticsearch-jdbc,15793,,Go
mochajs,pop,mochajs/pop,15748,,JavaScript
ReactiveX,deep-image-prior,ReactiveX/deep-image-prior,15714,,Java
vim,CircleImageView,vim/CircleImageView,15491,,C
postcss,QGIS,postcss/QGIS,15454,,CoffeeScript
syl20bnr,awesome-pipeline,syl20bnr/awesome-pipeline,15439,,Emacs Lisp
styled-components,Awesome-Linux-Software,styled-components/Awesome-Linux-Software,15233,,JavaScript
kriskowal,chisel,kriskowal/chisel,14978,,JavaScript
quilljs,node-xml2js,quilljs/node-xml2js,14875,,JavaScript
square,php-markdown,square/php-markdown,14874,,Java
grpc,URLNavigator,grpc/URLNavigator,14816,,C
codemirror,open-color,codemirror/open-color,14794,,JavaScript
composer,devd,composer/devd,14757,,PHP
dotnet,github-audio,dotnet/github-audio,14708,,C#
GitbookIO,paths-js,GitbookIO/paths-js,14585,,JavaScript
Leaflet,coffeescript,Leaflet/coffeescript,14559,,JavaScript
sindresorhus,the_silver_searcher,sindresorhus/the_silver_searcher,14410,,
wangshub,vagrant,wangshub/vagrant,14404,,
angular,nightmare,angular/nightmare,14385,,JavaScript
angular,nanogui,angular/nanogui,14270,,TypeScript
OpenCV,mailcatcher,OpenCV/mailcatcher,14131,,C++
shadowsocks,pivottable,shadowsocks/pivottable,14120,,C
